NOM PDV,ADRESSE PDV,LOCALISATION
Bar chez Angel,Guinée Bissau côté sabine,"17°26'54.16""W  14°44'14.74""N"
Bar chez Bébé,lémon côté fatou diedhiou,"17°26'53.22""W  14°44'13.86""N"
Bar chez Fatou diedhiou,lémon côté johana,"17°26'53.18""W  14°44'13.83""N"
Bar chez johana,lémon côté Ely,"17°26'53.31""W  14°44'12.92""N"
Bar chez Ely Djiboune,lémon côté Guinée Bissau,"17°26'53.26""W  14°44'13.91""N"
Alimentation la Merveille,parcelle case ba,"17°25'43.67""W  14°45'30.72""N"
Dépôt La merveille,parcelle unité 5,"17°25'43.54""W  14°45'30.65""N"
Alimentation Joseph,parcelle u 11,"17°27'0.38""W  14°41'37.06""N"
supermarché Utile,parcelle soprim côté BCEAO,"17°26'23.91""W  14°45'3.08""N"
Bar Café des Arts,cité mixte derrière stade amitié,"17°27'24.60""W  14°44'46.74""N"
Lala Beach,diamalaye même ruelle la payotte,"17°27'41.27""W  14°45'43.50""N"
Bar Resto Sunsett,diamalaye à côté de la payotte,"17°27'37.50""W  14°45'43.77""N"
La Payotte,Dimalaye en face plage,"17°27'36.11""W  14°45'45.35""N"
Alimentation  Chez Paul,camberene,"17°27'12.56""W  14°45'34.39""N"
BAR KAMIAME BAR,Tali Diallo Boutique Bamba,"17°22'23.81""W  14°45'51.32""N"
Albert,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7704967, -17,3145225"
Alimentation Chez Ngonè,Derriere Pont,"17°19'32.39""W  14°47'18.38""N"
Alimentation Chez Pi,Face Lycee Ee Keur Massar,"17°19'32.39""W  14°47'18.38""N"
Alimentation Chez Valerie,Keur Massar,"14,7584669, -17,4288832"
Alimentation Daniel Mbaye,Keur Massar,"14,7792882, -17,327021"
Alimentation Mariano Gomis,Keur Massar,"17°19'22.59""W  14°46'23.74""N"
Alimentation Ste Famille,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7692013, -17,310207"
Alimentation Theo,Cité Tawfekh (socabeg),"14,8130204, -17,266498"
Alimentyation Chez Maman,Keur Massar,"14,7732621, -17,322944"
Aloise Diouf,"Quartier Plan Jaxaay 01, Commune De Jaxaay - Parcelles","14,7589967, -17,2978052"
Alphonse Sarr Alimentation La Providence,Apix Rond Point,"17°16'6.46""W  14°47'47.32""N"
Andre Diouf,Face Hopital,"17°18'34.10""W  14°45'3.08""N"
Antoine,Tally Carreaux Derriere Pont,"17°20'39.33""W  14°46'0.34""N"
Augustin,Keur Massar,"17°19'32.01""W  14°46'49.96""N"
B.A Chez Alexis,Keur Massar,"14,7742063, -17,3085534"
B.A Chez Coly Ex Sakaya,"Quartier Mbao, Commune De Mbao","14,7416591, -17,315804"
B.A Chez Edouard,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7691099, -17,3102437"
Bar Albert 1,"Quartier Commune De Rufisque Ouest, Rufisque","14,7345537, -17,2878137"
Bar Barth,Bambylor,"14,8100331, -17,1816502"
Bar Belier,Keur moussa,"14,7800306, -17,1132999"
Bar Beutham,Commune De Mbao,"14,74669,-17,31871"
